note	team	type	player	type_cd	team_id	player_id	name_sort	from_team	trans_date	orig_asset	final_asset	from_team_id	resolution_cd	trans_date_cd	transaction_id	conditional_sw	effective_date	orig_asset_type	resolution_date	final_asset_type	name_display_last_first	name_display_first_last
Seattle Mariners invited non-roster SS Tyler Smith to spring training.	Seattle Mariners	Assigned	Tyler Smith	ASG	136	642094	SMITH, TYLER		2016-02-15T00:00:00	Player			FIN	D	254880		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Smith, Tyler	Tyler Smith
Seattle Mariners invited non-roster LHP Paul Fry to spring training.	Seattle Mariners	Assigned	Paul Fry	ASG	136	643316	FRY, PAUL		2016-02-15T00:00:00	Player			FIN	D	254876		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Fry, Paul	Paul Fry
Washington Nationals invited non-roster RHP Michael Brady to spring training.	Washington Nationals	Assigned	Michael Brady	ASG	120	572728	BRADY, MICHAEL		2016-02-15T00:00:00	Player			FIN	D	254836		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Brady, Michael	Michael Brady
San Diego Padres signed free agent LHP Elier Sanchez to a minor league contract.	San Diego Padres	Signed as Free Agent	Elier Sanchez	SFA	135	666835	SANCHEZ, ELIER		2016-02-15T00:00:00	Player			FIN	D	255254		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Sanchez, Elier	Elier Sanchez
Cincinnati Reds signed free agent RHP Moises Severino to a minor league contract.	Cincinnati Reds	Signed as Free Agent	Moises Severino	SFA	113	667389	SEVERINO, MOISES		2016-02-15T00:00:00	Player			FIN	D	254948		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Severino, Moises	Moises Severino
Los Angeles Angels signed free agent P Melquicedec Perez to a minor league contract.	Los Angeles Angels	Signed as Free Agent	Melquicedec Perez	SFA	108	667548	PEREZ, MELQUICEDEC		2016-02-15T00:00:00	Player			FIN	D	255251		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Perez, Melquicedec	Melquicedec Perez
Washington Nationals signed free agent CF Tony Campana to a minor league contract and invited him to spring training.	Washington Nationals	Signed as Free Agent	Tony Campana	SFA	120	542999	CAMPANA, TONY		2016-02-15T00:00:00	Player			FIN	D	254833		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Campana, Tony	Tony Campana
Cincinnati Reds signed free agent RHP Luis Sparles to a minor league contract.	Cincinnati Reds	Signed as Free Agent	Luis Sparles	SFA	113	667390	SPARLES, LUIS		2016-02-15T00:00:00	Player			FIN	D	254949		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Sparles, Luis	Luis Sparles
Texas Rangers signed free agent 1B Ike Davis to a minor league contract and invited him to spring training.	Texas Rangers	Signed as Free Agent	Ike Davis	SFA	140	477195	DAVIS, IKE		2016-02-15T00:00:00	Player			FIN	D	254870		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Davis, Ike	Ike Davis
Milwaukee Brewers invited non-roster C Jacob Nottingham to spring training.	Milwaukee Brewers	Assigned	Jacob Nottingham	ASG	158	641924	NOTTINGHAM, JACOB		2016-02-16T00:00:00	Player			FIN	D	254956		2016-02-16T00:00:00	PL	2016-02-16T00:00:00		Nottingham, Jacob	Jacob Nottingham
Arizona Diamondbacks invited non-roster C Ronnie Freeman to spring training.	Arizona Diamondbacks	Assigned	Ronnie Freeman	ASG	109	621531	FREEMAN, RONNIE		2016-02-16T00:00:00	Player			FIN	D	254930		2016-02-16T00:00:00	PL	2016-02-16T00:00:00		Freeman, Ronnie	Ronnie Freeman
Chicago Cubs invited non-roster RHP Ryan Williams to spring training.	Chicago Cubs	Assigned	Ryan Williams	ASG	112	657123	WILLIAMS, RYAN		2016-02-16T00:00:00	Player			FIN	D	254938		2016-02-16T00:00:00	PL	2016-02-16T00:00:00		Williams, Ryan	Ryan Williams
Chicago Cubs sent Edgar Olmos outright to Iowa Cubs.	Iowa Cubs	Outrighted	Edgar Olmos	OUT	451	543607	OLMOS, EDGAR	Chicago Cubs	2016-02-16T00:00:00	Player		112		D	254937	N	2016-02-16T00:00:00	PL			Olmos, Edgar	Edgar Olmos
Tomas Telis changed number to 18.	Miami Marlins	Number Change	Tomas Telis	NUM	146	542513	TELIS, TOMAS		2016-02-16T00:00:00	Player			FIN	D	254927		2016-02-16T00:00:00	PL	2016-02-16T00:00:00		Telis, Tomas	Tomas Telis
Raudel Lazo changed number to 60.	Miami Marlins	Number Change	Raudel Lazo	NUM	146	612272	LAZO, RAUDEL		2016-02-16T00:00:00	Player			FIN	D	254924		2016-02-16T00:00:00	PL	2016-02-16T00:00:00		Lazo, Raudel	Raudel Lazo
Justin Bour changed number to 41.	Miami Marlins	Number Change	Justin Bour	NUM	146	571506	BOUR, JUSTIN		2016-02-16T00:00:00	Player			FIN	D	254922		2016-02-16T00:00:00	PL	2016-02-16T00:00:00		Bour, Justin	Justin Bour
J.T. Realmuto changed number to 11.	Miami Marlins	Number Change	J.T. Realmuto	NUM	146	592663	REALMUTO, J.T.		2016-02-16T00:00:00	Player			FIN	D	254926		2016-02-16T00:00:00	PL	2016-02-16T00:00:00		Realmuto, J.T.	J.T. Realmuto
Jarred Cosart changed number to 59.	Miami Marlins	Number Change	Jarred Cosart	NUM	146	543054	COSART, JARRED		2016-02-16T00:00:00	Player			FIN	D	254923		2016-02-16T00:00:00	PL	2016-02-16T00:00:00		Cosart, Jarred	Jarred Cosart
Justin Nicolino changed number to 20.	Miami Marlins	Number Change	Justin Nicolino	NUM	146	592593	NICOLINO, JUSTIN		2016-02-16T00:00:00	Player			FIN	D	254925		2016-02-16T00:00:00	PL	2016-02-16T00:00:00		Nicolino, Justin	Justin Nicolino
New York Yankees signed free agent P Juan Rodriguez to a minor league contract.	New York Yankees	Signed as Free Agent	Juan Rodriguez	SFA	147	667550	RODRIGUEZ, JUAN		2016-02-16T00:00:00	Player			FIN	D	255253		2016-02-16T00:00:00	PL	2016-02-16T00:00:00		Rodriguez, Juan	Juan Rodriguez
San Francisco Giants signed free agent RHP Jerson Severin to a minor league contract.	San Francisco Giants	Signed as Free Agent	Jerson Severin	SFA	137	667551	SEVERIN, JERSON		2016-02-16T00:00:00	Player			FIN	D	255255		2016-02-16T00:00:00	PL	2016-02-16T00:00:00		Severin, Jerson	Jerson Severin
San Diego Padres signed free agent P Evan Powell to a minor league contract.	San Diego Padres	Signed as Free Agent	Evan Powell	SFA	135	667388	POWELL, EVAN		2016-02-16T00:00:00	Player			FIN	D	254947		2016-02-16T00:00:00	PL	2016-02-16T00:00:00		Powell, Evan	Evan Powell
Boston Red Sox signed free agent RHP Carlos Marmol to a minor league contract and invited him to spring training.	Boston Red Sox	Signed as Free Agent	Carlos Marmol	SFA	111	461791	MARMOL, CARLOS		2016-02-16T00:00:00	Player			FIN	D	254931		2016-02-16T00:00:00	PL	2016-02-16T00:00:00		Marmol, Carlos	Carlos Marmol
San Francisco Giants signed free agent P Marco Gonzalez to a minor league contract.	San Francisco Giants	Signed as Free Agent	Marco Gonzalez	SFA	137	667543	GONZALEZ, MARCO		2016-02-16T00:00:00	Player			FIN	D	255246		2016-02-16T00:00:00	PL	2016-02-16T00:00:00		Gonzalez, Marco	Marco Gonzalez
Boston Red Sox signed free agent P Ivan Jimenez to a minor league contract.	Boston Red Sox	Signed as Free Agent	Ivan Jimenez	SFA	111	667544	JIMENEZ, IVAN		2016-02-16T00:00:00	Player			FIN	D	255247		2016-02-16T00:00:00	PL	2016-02-16T00:00:00		Jimenez, Ivan	Ivan Jimenez
New York Mets invited non-roster RHP Chasen Bradford to spring training.	New York Mets	Assigned	Chasen Bradford	ASG	121	607473	BRADFORD, CHASEN		2016-02-17T00:00:00	Player			FIN	D	254957		2016-02-17T00:00:00	PL	2016-02-17T00:00:00		Bradford, Chasen	Chasen Bradford
New York Mets invited non-roster 1B Dominic Smith to spring training.	New York Mets	Assigned	Dominic Smith	ASG	121	642086	SMITH, DOMINIC		2016-02-17T00:00:00	Player			FIN	D	254960		2016-02-17T00:00:00	PL	2016-02-17T00:00:00		Smith, Dominic	Dominic Smith
