Entity,Url,IMDB,Director,Alias,genre,Runtime,Year
Decussation Chamber,http://slgff.strangertickets.com/films/28226718/decussation-chamber,,"Nathan Hill, Malic Amalya",,,9,2015
Notes From There,http://slgff.strangertickets.com/films/28226817/notes-from-there,tt4372328,Ann Prim,,,14,2015
Give Him Something Red,http://slgff.strangertickets.com/films/28226740/give-him-something-red,,Greg Acceta,,,5,2015
Stories Of Our Lives,http://slgff.strangertickets.com/films/28226603/stories-of-our-lives,tt3973612,Jim Chuchu,,,62,2014
Brockington,http://slgff.strangertickets.com/films/28226668/brockington,tt3780526,"Sergio Ingato, Mason Sklut, Maggie Sloane",,,9,2014
Rite Of Spring,http://slgff.strangertickets.com/films/28226831/rite-of-spring,tt3626828,Glen Wood,,,12,2014
The Surface,http://slgff.strangertickets.com/films/28226607/surface-the,tt3581788,Michael Saul,,,79,2015
Aviliaq: Entwined,http://slgff.strangertickets.com/films/28226697/aviliaq-entwined,tt4777054,Alethea Arnaquq-Baril,,,16,2014
The Little Deputy,http://slgff.strangertickets.com/films/28226754/little-deputy-the,tt4110934,Trevor Anderson,,,9,2015
Plunge,http://slgff.strangertickets.com/films/28226835/plunge,,Kate Lefoe,,,6,2014
Closets,http://slgff.strangertickets.com/films/28226690/closets,tt4643840,Lloyd Eyre-Morgan,,,18,2015
While You Weren't Looking,http://slgff.strangertickets.com/films/28226632/while-you-werent-looking,tt4353990,Catherine Stewart,,,74,2015
Akron,http://slgff.strangertickets.com/films/28226538/akron,tt3544014,"Brian O'Donnell, Sasha King",,,88,2015
Tremulo,http://slgff.strangertickets.com/films/28226864/tremulo,,Roberto Fiesco,,,20,2015
Ma/ddy,http://slgff.strangertickets.com/films/28226763/maddy,,Devon Kirkpatrick,,,12,2015
Roxanne,http://slgff.strangertickets.com/films/28226832/roxanne,tt4136956,Paul Frankl,,,14,2014
Summer,http://slgff.strangertickets.com/films/28226617/summer,tt2691102,Colette Bothof,,,86,2014
Happy & Gay,http://slgff.strangertickets.com/films/28226756/happy-gay,,Lorelei Pepi,,,11,2014
To Hold Water,http://slgff.strangertickets.com/films/28226862/to-hold-water,,Francisca Alegría,,,15,2015
A Gay Girl In Damascus: The Amina Profile,http://slgff.strangertickets.com/films/28226536/gay-girl-in-damascas-a-the-amina-profile,,Sophie Deraspe,,,84,2014
Stuff,http://slgff.strangertickets.com/films/28226601/stuff,tt3848072,Suzanne Guacci,,,98,2015
Off A Cliff,http://slgff.strangertickets.com/films/28226816/off-a-cliff,,Cédric Jouarie,,,6,2014
Lady Of The Night,http://slgff.strangertickets.com/films/28226794/lady-of-the-night,,Laurent Boileau,,,11,2014
"Where Are You Going, Habibi?",http://slgff.strangertickets.com/films/28226624/where-are-you-going-habibi,tt4064498,Tor Iben,,,80,2015
Cairo 52,http://slgff.strangertickets.com/films/28226707/cairo-52,tt5219534,Dominique Birrer,,,5,2014
Another Teenage Love Story,http://slgff.strangertickets.com/films/28226656/another-teenage-love-story,,"Andrew Cali, Sydney Pennington, Ana Walker, Maya Vasquez",,,6,2015
Water,http://slgff.strangertickets.com/films/28226856/water,,Ricardo Esparragoza,,,12,2014
I Do,http://slgff.strangertickets.com/films/28226783/i-do,,Felipe Cabral,,,20,2014
1975 (kiss),http://slgff.strangertickets.com/films/28226672/1975-kiss,,Wrik Mead,,,1,2014
Beautiful Something,http://slgff.strangertickets.com/films/28226534/beautiful-something,tt3212408,Joseph Graham,,,93,2015
Portrait Of A Serial Monogamist,http://slgff.strangertickets.com/films/28226604/portrait-of-a-serial-monogamist,tt2935662,"Christina Zeidler, John Mitchell",,,84,2015
Raising Ryland,http://slgff.strangertickets.com/films/28226827/raising-ryland,tt4136042,Sarah Feeley,,,14,2015
Queer Habits,http://slgff.strangertickets.com/films/28226829/queer-habits,tt4197434,Drew Denny,,,14,2015
Boxeadora,http://slgff.strangertickets.com/films/28226648/boxeadora,tt3983654,Meg Smaker,,,16,2015
Big Time- My Doodled Diary,http://slgff.strangertickets.com/films/28226669/big-time-my-doodled-diary,,Sonali Gulati,,,12,2015
Baby Steps,http://slgff.strangertickets.com/films/28226561/baby-steps,,Barney Cheng,,,103,2014
Coming Home,http://slgff.strangertickets.com/films/28226705/coming-home,tt3712738,Steven Liang,,,14,2015
Wang,http://slgff.strangertickets.com/films/28226873/wang,,S. Arden Barlow,,,2,2015
Dyke Hard,http://slgff.strangertickets.com/films/28226530/dyke-hard,,Bitte Anderson,,,94,2014
The Standoff,http://slgff.strangertickets.com/films/28226837/standoff-the,tt4549266,Leann Bowen,,,3,2015
Showboy,http://slgff.strangertickets.com/films/28226824/showboy,tt3552042,Samuel Leighton-Dore,,,15,2014
S&m Sally,http://slgff.strangertickets.com/films/28226599/sm-sally,,Michelle Ehlen,,,79,2015
Pepper,http://slgff.strangertickets.com/films/28226830/pepper,tt4276322,Patrick Aubert,,,8,2014
What We Have,http://slgff.strangertickets.com/films/28226622/what-we-have,tt3282308,Maxime Desmons,,,89,2014
Raven's Touch,http://slgff.strangertickets.com/films/28226564/ravens-touch,tt3054840,"Marina Rice Bader, Dreya Weber",,,86,2015
