Entity,Director,url,Year,Alias,IMDB,IMDB URL,genre,Runtime
Middle Man,Charlie Francis,http://slgff.strangertickets.com/films/28226773/middle-man,2014,,tt3550298,,,5
Fawns,Thanasis Tsimpinis,http://slgff.strangertickets.com/films/28226716/fawns,2014,,tt5101268,http://www.imdb.com/title/tt5101268/,,4
Carina,Sandra Reynoso,http://slgff.strangertickets.com/films/28226685/carina,2014,,,,,11
Blackroot,"Ben Kadie, Jack Flynn",http://slgff.strangertickets.com/films/28226663/blackroot,2015,,,,,16
Front Cover,Ray Yeung,http://slgff.strangertickets.com/films/28226596/front-cover,2015,,tt3185602,http://www.imdb.com/title/tt3185602/,,87
Hole,Martin Edralin,http://slgff.strangertickets.com/films/28226799/hole,2014,,tt3630326,http://www.imdb.com/title/tt3630326/,,15
Why I Fight,Violetta Palak,http://slgff.strangertickets.com/films/28226865/why-i-fight,2014,,,http://www.imdb.com/title/tt3852600/,,17
Nick Jonas: Gay "teacher",Heath Daniels,http://slgff.strangertickets.com/films/28226800/nick-jonas-gay-teacher,2015,,,,,4
Want It!,Lee Haven Jones,http://slgff.strangertickets.com/films/28226846/want-it,2014,,,,,11
Myrna The Monster,Ian Samuels,http://slgff.strangertickets.com/films/28226821/myrna-the-monster,2015,,tt4180724,,,15
Been Too Long At The Fair,"Charles Lum, Todd Verow",http://slgff.strangertickets.com/films/28226665/been-too-long-at-the-fair,2015,,tt4374426,,,7
Hush Up Sweet Charlotte,Billy Clift,http://slgff.strangertickets.com/films/28226554/hush-up-sweet-charlotte,2015,,,,,97
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
